Player;Role;Team;Opponent Team;Opponent Player;Date;Round;Day;Patch;Stage;No Game;all Games;Format;Game of day;Side;Time;Ban;Ban Opponent;Pick;Pick Opponent;Champion;Champion Opponent;Outcome;Kills Team;Turrets Team;Dragon Team;Baron Team;Level;Kills;Deaths;Assists;KDA;CS;CS in Teams Jungle;CS in Enemy Jungle;CSM;Golds;GPM;GOLD%;Vision Score;Wards placed;Wards destroyed;Control Wards Purchased;Detector Wards Placed;VSPM;WPM;VWPM;WCPM;VS%;Total damage to Champion;Physical Damage;Magic Damage;True Damage;DPM;DMG%;K+A Per Minute;KP%;Solo kills;Double kills;Triple kills;Quadra kills;Penta kills;GD@15;CSD@15;XPD@15;LVLD@15;Objectives Stolen;Damage dealt to turrets;Damage dealt to buildings;Total heal;Total Heals On Teammates;Damage self mitigated;Total Damage Shielded On Teammates;Time ccing others;Total Time CC Dealt;Total damage taken;Total Time Spent Dead;Consumables purchased;Items Purchased;Shutdown bounty collected;Shutdown bounty lost
kingen;TOP;DK;FOX;Clear;23.08.2024;1;1;v14.16;Summer_Playoffs_24;1;4;5;1;Blue;00:32:19;Renekton;LeBlanc;Rumble;Ashe;Rumble;Ornn;Win;12;9;2;2;16;1;4;6;1.8;234;12;0;7.2;11657;361;0.186;40;12;7;7;7;1.24;0.37;0.22;0.22;0.141;19064;510;18489;65;590;0.27;0.22;0.583;0;0;0;0;0;5;19;-328;0;0;4807;4807;5350;580;19400;0;10;284;19531;127;9;27;100;50
Lucid;JUNGLE;DK;FOX;Raptor;23.08.2024;1;1;v14.16;Summer_Playoffs_24;1;4;5;1;Blue;00:32:19;Zyra;Maokai;Nasus;Azir;Ivern;Xin_Zhao;Win;12;9;2;2;15;0;0;10;Perfect_KDA;176;166;0;5.4;11102;344;0.178;53;16;9;15;14;1.64;0.5;0.46;0.28;0.187;3175;919;883;1373;98;0.045;0.31;0.833;0;0;0;0;0;261;12;127;0;0;1018;1018;10703;1886;12800;8507;24;194;10939;0;16;33;0;0
ShowMaker;MID;DK;FOX;Clozer;23.08.2024;1;1;v14.16;Summer_Playoffs_24;1;4;5;1;Blue;00:32:19;Vi;Lillia;Ivern;Ornn;Nasus;Azir;Win;12;9;2;2;18;4;1;4;8;311;12;0;9.6;15013;465;0.24;48;9;15;7;7;1.49;0.28;0.22;0.46;0.169;15192;8181;6553;458;470;0.215;0.25;0.667;0;0;0;0;0;-306;-4;75;0;0;5753;5753;11432;0;29520;0;12;967;24498;0;9;24;0;650
Aiming;ADCARRY;DK;FOX;Hena;23.08.2024;1;1;v14.16;Summer_Playoffs_24;1;4;5;1;Blue;00:32:19;Viego;Ezreal;Smolder;Xin_Zhao;Smolder;Ashe;Win;12;9;2;2;17;7;0;2;Perfect_KDA;348;12;0;10.8;16474;510;0.264;44;14;15;4;4;1.36;0.43;0.12;0.46;0.155;29786;21509;4031;4246;922;0.421;0.28;0.75;0;0;1;0;0;481;15;-130;0;0;7352;7352;6575;0;8901;0;10;340;13129;0;5;28;50;0
Moham;SUPPORT;DK;FOX;Duro;23.08.2024;1;1;v14.16;Summer_Playoffs_24;1;4;5;1;Blue;00:32:19;Braum;Miss_Fortune;Rell;Seraphine;Rell;Seraphine;Win;12;9;2;2;13;0;2;10;5;25;0;0;0.8;8265;256;0.132;99;58;11;19;19;3.06;1.79;0.59;0.34;0.349;3507;563;2460;484;109;0.05;0.31;0.833;0;0;0;0;0;-128;1;-532;-1;0;4086;4086;784;0;12291;0;20;38;13015;56;21;33;0;0
Clear;TOP;FOX;DK;kingen;23.08.2024;1;1;v14.16;Summer_Playoffs_24;1;4;5;1;Red;00:32:19;LeBlanc;Renekton;Ashe;Rumble;Ornn;Rumble;Loss;7;1;1;0;15;0;2;4;2;197;0;0;6.1;9553;296;0.182;33;7;12;0;0;1.02;0.22;0;0.37;0.118;10168;3217;6951;0;315;0.171;0.12;0.571;0;0;0;0;0;-5;-19;328;0;0;1863;1863;2046;0;26259;0;28;476;21741;86;1;20;0;0
Raptor;JUNGLE;FOX;DK;Lucid;23.08.2024;1;1;v14.16;Summer_Playoffs_24;1;4;5;1;Red;00:32:19;Maokai;Zyra;Azir;Nasus;Xin_Zhao;Ivern;Loss;7;1;1;0;14;2;5;4;1.2;166;147;0;5.1;9415;291;0.179;57;11;16;9;9;1.76;0.34;0.28;0.5;0.204;9870;8562;906;402;305;0.166;0.19;0.857;0;0;0;0;0;-261;-12;-127;0;0;0;0;23234;0;24052;0;14;513;40595;126;10;27;0;0
Clozer;MID;FOX;DK;ShowMaker;23.08.2024;1;1;v14.16;Summer_Playoffs_24;1;4;5;1;Red;00:32:19;Lillia;Vi;Ornn;Ivern;Azir;Nasus;Loss;7;1;1;0;17;3;1;3;6;345;4;0;10.7;13522;418;0.257;37;14;8;5;4;1.14;0.43;0.15;0.25;0.133;20698;158;20326;214;640;0.348;0.19;0.857;0;0;0;0;0;306;4;-75;0;0;1720;1720;7072;0;13600;0;7;195;19746;0;7;26;50;100
Hena;ADCARRY;FOX;DK;Aiming;23.08.2024;1;1;v14.16;Summer_Playoffs_24;1;4;5;1;Red;00:32:19;Ezreal;Viego;Xin_Zhao;Smolder;Ashe;Smolder;Loss;7;1;1;0;15;2;1;3;5;320;17;0;9.9;13129;406;0.25;37;13;8;4;4;1.14;0.4;0.12;0.25;0.133;14595;10394;4173;28;452;0.245;0.15;0.714;0;0;0;0;0;-481;-15;130;0;0;431;431;3224;0;7551;0;26;858;11334;0;6;27;650;50
Duro;SUPPORT;FOX;DK;Moham;23.08.2024;1;1;v14.16;Summer_Playoffs_24;1;4;5;1;Red;00:32:19;Miss_Fortune;Braum;Seraphine;Rell;Seraphine;Rell;Loss;7;1;1;0;12;0;3;6;2;27;0;0;0.8;6906;214;0.131;115;53;18;18;15;3.56;1.64;0.56;0.56;0.412;4153;900;3253;0;129;0.07;0.19;0.857;0;0;0;0;0;128;-1;532;1;0;219;219;8768;6227;8057;4358;18;98;10911;51;20;37;0;0
